Project,Task Name,Start Date,Finish Date,Critical Date
Brand Campaign Q1,Concepting,2026-01-06,2026-01-17,
Brand Campaign Q1,Pre Pro / Prep,2026-01-20,2026-01-31,
Brand Campaign Q1,Shoot,2026-02-03,2026-02-07,
Brand Campaign Q1,Edit / Post,2026-02-10,2026-03-07,
Brand Campaign Q1,Client Review,2026-03-10,2026-03-14,2026-03-14
Brand Campaign Q1,Delivery,2026-03-17,2026-03-21,2026-03-21
Product Launch Video,Concepting,2026-02-03,2026-02-14,
Product Launch Video,Pre Pro,2026-02-17,2026-02-28,
Product Launch Video,Shoot,2026-03-03,2026-03-07,
Product Launch Video,VFX / Color,2026-03-10,2026-04-04,
Product Launch Video,Approval,2026-04-07,2026-04-11,
Product Launch Video,Air / Live,2026-04-14,2026-04-18,2026-04-18
Social Content Series,Planning,2026-01-13,2026-01-24,
Social Content Series,Shoot Batch 1,2026-01-27,2026-01-31,
Social Content Series,Edit Batch 1,2026-02-03,2026-02-14,
Social Content Series,Shoot Batch 2,2026-02-17,2026-02-21,
Social Content Series,Edit Batch 2,2026-02-24,2026-03-07,
Social Content Series,Review,2026-03-10,2026-03-14,
Social Content Series,Publish,2026-03-17,2026-03-21,2026-03-21
